datetime,timestamp,open,high,low,close,volume
2025-06-18 07:00:00,1750230000000,147.2,147.98,147.01,147.98,23595.009965
2025-06-18 08:00:00,1750233600000,147.98,148.52,147.07,147.65,32032.236838
2025-06-18 09:00:00,1750237200000,147.65,148.35,147.19,147.42,18173.154338
2025-06-18 10:00:00,1750240800000,147.41,147.52,145.35,145.72,47883.821475
2025-06-18 11:00:00,1750244400000,145.69,146.77,145.5,146.52,26811.721826
2025-06-18 12:00:00,1750248000000,146.5,146.58,145.0,145.18,40840.535671
2025-06-18 13:00:00,1750251600000,145.19,145.48,143.8,145.29,71559.512176
2025-06-18 14:00:00,1750255200000,145.29,146.77,144.66,145.3,59818.987431
2025-06-18 15:00:00,1750258800000,145.3,146.13,144.65,145.77,29145.918504
2025-06-18 16:00:00,1750262400000,145.77,145.77,144.45,144.84,23403.811661
2025-06-18 17:00:00,1750266000000,144.83,145.9,143.94,145.56,39368.299086
2025-06-18 18:00:00,1750269600000,145.58,146.5,143.98,143.98,51798.021818
2025-06-18 19:00:00,1750273200000,143.97,146.06,143.65,144.72,56810.651636
2025-06-18 20:00:00,1750276800000,144.74,147.88,144.11,147.47,31650.295509
2025-06-18 21:00:00,1750280400000,147.48,147.86,146.28,147.57,30060.471584
2025-06-18 22:00:00,1750284000000,147.56,147.91,147.19,147.39,13482.133643
2025-06-18 23:00:00,1750287600000,147.41,147.82,145.89,146.36,23573.09737
2025-06-19 00:00:00,1750291200000,146.36,147.9,145.82,146.92,34114.54706
2025-06-19 01:00:00,1750294800000,146.95,146.99,145.43,145.7,23567.510678
2025-06-19 02:00:00,1750298400000,145.7,146.19,144.98,145.52,31043.741603
2025-06-19 03:00:00,1750302000000,145.52,146.72,145.52,146.62,11206.88631
2025-06-19 04:00:00,1750305600000,146.62,146.68,145.59,146.55,15836.720935
2025-06-19 05:00:00,1750309200000,146.55,147.17,145.81,145.97,23234.07934
2025-06-19 06:00:00,1750312800000,145.96,146.2,145.15,145.36,11232.135633
