datetime,timestamp,open,high,low,close,volume
2025-06-18 07:00:00,1750230000000,2524.0,2533.68,2517.65,2533.6,5317.759862
2025-06-18 08:00:00,1750233600000,2533.6,2548.72,2526.79,2533.2,6883.469704
2025-06-18 09:00:00,1750237200000,2533.5,2540.64,2520.97,2527.24,3364.790549
2025-06-18 10:00:00,1750240800000,2527.18,2529.09,2488.44,2495.55,10279.99543
2025-06-18 11:00:00,1750244400000,2495.07,2517.0,2490.86,2514.06,8021.414961
2025-06-18 12:00:00,1750248000000,2514.06,2516.23,2492.0,2493.83,7636.055405
2025-06-18 13:00:00,1750251600000,2493.83,2505.42,2465.63,2502.08,16026.630928
2025-06-18 14:00:00,1750255200000,2501.79,2538.87,2493.91,2505.25,25122.576301
2025-06-18 15:00:00,1750258800000,2505.19,2520.54,2490.5,2509.03,8806.658389
2025-06-18 16:00:00,1750262400000,2509.03,2514.73,2494.86,2500.18,6495.736973
2025-06-18 17:00:00,1750266000000,2500.18,2503.47,2467.25,2496.85,11418.065872
2025-06-18 18:00:00,1750269600000,2496.51,2519.17,2472.8,2475.56,14787.517763
2025-06-18 19:00:00,1750273200000,2475.59,2510.19,2470.37,2492.39,8368.392044
2025-06-18 20:00:00,1750276800000,2492.31,2536.97,2482.62,2528.5,7434.173553
2025-06-18 21:00:00,1750280400000,2528.6,2537.61,2510.0,2528.06,7590.556218
2025-06-18 22:00:00,1750284000000,2528.3,2533.77,2519.6,2525.0,3363.202057
2025-06-18 23:00:00,1750287600000,2525.15,2533.3,2514.71,2524.71,3696.067807
2025-06-19 00:00:00,1750291200000,2524.68,2548.0,2513.4,2529.29,6277.583881
2025-06-19 01:00:00,1750294800000,2529.36,2530.47,2506.04,2515.01,5470.804637
2025-06-19 02:00:00,1750298400000,2514.82,2526.77,2507.54,2514.4,2648.972714
2025-06-19 03:00:00,1750302000000,2514.4,2526.07,2514.12,2525.53,1853.827495
2025-06-19 04:00:00,1750305600000,2525.53,2525.97,2514.36,2524.35,1461.640428
2025-06-19 05:00:00,1750309200000,2524.35,2531.19,2520.0,2521.93,3657.498514
2025-06-19 06:00:00,1750312800000,2521.92,2527.13,2516.69,2518.92,1914.29184
