datetime,timestamp,open,high,low,close,volume
2025-06-18 07:00:00,1750230000000,0.17044,0.17126,0.17025,0.1712,7677983.364514
2025-06-18 08:00:00,1750233600000,0.17119,0.1717,0.17002,0.17049,8728882.76988
2025-06-18 09:00:00,1750237200000,0.1705,0.17091,0.16956,0.16971,10935727.150438
2025-06-18 10:00:00,1750240800000,0.16971,0.16978,0.16622,0.16677,29147668.069348
2025-06-18 11:00:00,1750244400000,0.1668,0.16907,0.16668,0.1687,16514529.100375
2025-06-18 12:00:00,1750248000000,0.1687,0.16878,0.16722,0.16738,14494065.174971
2025-06-18 13:00:00,1750251600000,0.16743,0.16746,0.16406,0.16671,48122997.414224
2025-06-18 14:00:00,1750255200000,0.1667,0.1695,0.16636,0.16744,52060773.830308
2025-06-18 15:00:00,1750258800000,0.16744,0.16876,0.16648,0.16814,14228212.530125
2025-06-18 16:00:00,1750262400000,0.16814,0.16832,0.16682,0.16725,10500512.080628
2025-06-18 17:00:00,1750266000000,0.16725,0.16816,0.16564,0.16765,11850627.051647
2025-06-18 18:00:00,1750269600000,0.16764,0.16895,0.16546,0.16555,33541379.733533
2025-06-18 19:00:00,1750273200000,0.16556,0.16833,0.16524,0.167,21498834.140077
2025-06-18 20:00:00,1750276800000,0.16701,0.17117,0.16624,0.17058,17990528.196609
2025-06-18 21:00:00,1750280400000,0.17057,0.17136,0.16942,0.17097,14767893.608958
2025-06-18 22:00:00,1750284000000,0.17096,0.17155,0.17029,0.17043,8729903.836923
2025-06-18 23:00:00,1750287600000,0.17043,0.17113,0.16977,0.17065,6664616.868155
2025-06-19 00:00:00,1750291200000,0.17066,0.17203,0.16986,0.17083,17802927.165325
2025-06-19 01:00:00,1750294800000,0.17085,0.17091,0.16943,0.16972,14009302.205462
2025-06-19 02:00:00,1750298400000,0.16973,0.17074,0.16937,0.16991,8104619.462045
2025-06-19 03:00:00,1750302000000,0.16992,0.171,0.16992,0.17092,6683016.632785
2025-06-19 04:00:00,1750305600000,0.17093,0.17105,0.17015,0.1709,8666704.986969
2025-06-19 05:00:00,1750309200000,0.17092,0.17156,0.17064,0.17072,14597666.357887
2025-06-19 06:00:00,1750312800000,0.17071,0.17119,0.17013,0.17036,5550856.803196
