time,open,high,low,close,volume,amount,ATR,BBW,squeeze_ok,don_high,don_low,label
2024-09-16 18:00:00,3.118e-05,0.000442,3.118e-05,0.00033322,129055504059.0,44202615.73899779,0.00041082,,False,,,0
2024-09-16 20:00:00,0.0003332,0.00038567,0.000306,0.00038321,108072897294.0,36575478.94925521,0.00035061090909090906,,False,,,0
2024-09-16 22:00:00,0.00038319,0.00042488,0.00036781,0.000403,146737105244.0,57942413.39891013,0.00029723983471074375,,False,,,0
2024-09-17 00:00:00,0.00040244,0.0004333,0.00037,0.00040034,91853989565.0,36875428.41099246,0.00025470531930879033,,False,,,0
2024-09-17 02:00:00,0.00040034,0.00040075,0.00035183,0.00035663,38455787331.0,14391945.41730125,0.00021728980670719205,,False,,,0
2024-09-17 04:00:00,0.00035689,0.00037,0.00033383,0.00036242,41175718525.0,14411695.41176583,0.00018435893276042985,,False,,,0
2024-09-17 06:00:00,0.00036283,0.00036494,0.00033515,0.00035989,27875792075.0,9831782.67563803,0.0001562554904403517,,False,,,0
2024-09-17 08:00:00,0.00035982,0.000389,0.00035933,0.00037021,42066178242.0,15879523.12790935,0.0001332399467239241,,False,,,0
2024-09-17 10:00:00,0.00037021,0.000384,0.000353,0.00035912,25395110473.0,9423083.60186247,0.00011465086550139245,,False,,,0
2024-09-17 12:00:00,0.00035909,0.00036691,0.00034034,0.00036148,27857814711.0,9780772.04638877,9.863616268295746e-05,0.17259904080200664,False,,,0
2024-09-17 14:00:00,0.0003613,0.0003775,0.00035111,0.00037274,23925816757.0,8813067.59197907,8.550049674060155e-05,0.13769796012213123,False,,,0
2024-09-17 16:00:00,0.00037295,0.00040996,0.00037174,0.00040429,59051167567.0,23416611.4304975,7.69040427877649e-05,0.15710351628429012,False,,,0
2024-09-17 18:00:00,0.00040441,0.0004113,0.00036607,0.00037888,42992086191.0,16465393.44294128,7.11451259172622e-05,0.13801625819223992,False,,,0
2024-09-17 20:00:00,0.00037883,0.000395,0.0003734,0.00038276,28989462977.0,11156947.41995862,6.21369212050327e-05,0.11899553879303552,False,,,0
2024-09-17 22:00:00,0.00038303,0.0005211,0.00037378,0.00051839,103331693334.0,45148320.13527511,7.762475371320857e-05,0.37353640869528587,False,,,0
2024-09-18 00:00:00,0.0005191,0.00067808,0.0005109,0.00063512,195743190461.0,118593140.09779689,9.390752576535246e-05,0.6584450670974626,False,,,0
2024-09-18 02:00:00,0.00063512,0.00071379,0.00062482,0.00065838,89429905514.0,59875054.41816934,9.300979380801563e-05,0.7868356812296692,False,,,0
2024-09-18 04:00:00,0.00065838,0.000716,0.00064,0.0006689,59254790054.0,40525301.82374,8.991710402474005e-05,0.8392592342232488,False,,,0
2024-09-18 06:00:00,0.00066891,0.000695,0.00065207,0.00068958,30010465292.0,20200686.77874265,8.137399420206003e-05,0.8381409401809092,False,,,0
2024-09-18 08:00:00,0.00068968,0.00089,0.00066052,0.00079796,107051934477.0,85558102.4003607,0.00010830235889259455,0.8613309765245503,False,,,0
2024-09-18 10:00:00,0.00079773,0.000845,0.000792,0.0008226,42999707033.0,35496612.49130008,9.824738454848646e-05,0.8343441878779296,False,,,0
2024-09-18 12:00:00,0.0008226,0.00087696,0.0007203,0.00075643,81668831377.0,63878858.34990879,0.00010886786008512529,0.7498785186667745,False,,,0
2024-09-18 14:00:00,0.00075643,0.00082,0.00073,0.0007981,43765963429.0,34421849.68278453,0.00010543734006964795,0.6140488646144084,False,,,0
2024-09-18 16:00:00,0.00079888,0.00085888,0.00076022,0.00080784,57183415549.0,47025922.40567524,0.00010420509642062104,0.4116592195473531,False,,,0
2024-09-18 18:00:00,0.00080784,0.00090853,0.0007869,0.00080492,73037906469.0,61233853.50519447,0.00010737326070778083,0.2936977518176444,False,,,0
2024-09-18 20:00:00,0.00080492,0.00085,0.000787,0.00083902,42800915905.0,35267614.95723878,9.930539512454793e-05,0.2641532152836225,False,,,0
2024-09-18 22:00:00,0.00083879,0.00091,0.000776,0.00078485,81065902843.0,67863037.43513598,0.00010561350510190286,0.21670653714524582,False,,,0
2024-09-19 00:00:00,0.00078449,0.0008389,0.0007725,0.00081443,48252589783.0,39140298.58177127,9.848377690155688e-05,0.15952370611629874,False,,,0
2024-09-19 02:00:00,0.00081395,0.00086932,0.00079615,0.00081639,56932986819.0,47526281.6656974,9.388127201036472e-05,0.08387594742157584,False,,,0
2024-09-19 04:00:00,0.00081669,0.00087,0.00080501,0.00084686,27330429556.0,22956103.97587198,8.862831346302567e-05,0.09642240042132152,False,,,0
2024-09-19 06:00:00,0.000847,0.000981,0.00084601,0.00096266,79904220837.0,74462248.80656162,9.705771101520283e-05,0.20150135499609984,False,0.00091,3.118e-05,0
2024-09-19 08:00:00,0.00096313,0.00097545,0.00091189,0.0009456,42047362166.0,39820064.17952885,9.096721810334774e-05,0.22049967811330998,False,0.000981,0.000306,0
2024-09-19 10:00:00,0.00094592,0.0009487,0.00085,0.00088101,45828314746.0,40989200.39308187,9.237317844819362e-05,0.21482543899015424,False,0.000981,0.00033383,0
2024-09-19 12:00:00,0.00088159,0.00088592,0.00082172,0.00086492,35406860319.0,30429554.07451579,8.725078236670387e-05,0.20715833719101595,False,0.000981,0.00033383,0
2024-09-19 14:00:00,0.00086449,0.00093663,0.00085158,0.00091066,46659024708.0,42170058.83075941,8.685064011821226e-05,0.20216454890165664,False,0.000981,0.00033383,0
2024-09-19 16:00:00,0.00091066,0.0009228,0.00086072,0.00086793,26625100699.0,23875297.38949386,8.234688736944638e-05,0.19870047150583442,False,0.000981,0.00033383,0
2024-09-19 18:00:00,0.00086792,0.00088432,0.000831,0.00085509,39111098323.0,33455941.03323214,7.706927148409248e-05,0.17072823505819923,False,0.000981,0.00033515,0
2024-09-19 20:00:00,0.00085476,0.00093432,0.00085,0.00091851,46757696625.0,41389927.13549091,7.838758575971202e-05,0.15627742842585782,False,0.000981,0.00034034,0
2024-09-19 22:00:00,0.00091829,0.001025,0.0008824,0.00101613,77409360652.0,73998620.96747766,9.006257016703713e-05,0.18093371778881628,False,0.000981,0.00034034,0
2024-09-20 00:00:00,0.00101582,0.00103816,0.00092412,0.00094879,54285100739.0,52566312.95946472,9.442210286393946e-05,0.1690258230252778,False,0.001025,0.00034034,0
2024-09-20 02:00:00,0.00094878,0.00097784,0.00090125,0.0009294,23695844395.0,22411184.19209639,9.117990234322319e-05,0.16230649488650592,False,0.00103816,0.00035111,0
2024-09-20 04:00:00,0.00092937,0.00094568,0.0009,0.00092955,16620288238.0,15383720.76253848,8.290719282627351e-05,0.15965029034840936,False,0.00103816,0.00036607,0
