time,label,pred,prob_0,prob_1,prob_2
2024-09-20 22:00:00,0,0,0.7358947992324829,0.02035403810441494,0.2437511831521988
2024-09-21 00:00:00,0,0,0.9834285378456116,0.0002536301326472312,0.01631791889667511
2024-09-21 02:00:00,0,0,0.9323392510414124,0.06730011850595474,0.00036060018464922905
2024-09-21 04:00:00,0,0,0.9878877997398376,0.004638914484530687,0.007473275065422058
2024-09-21 06:00:00,0,0,0.8376684784889221,0.017535926774144173,0.14479559659957886
2024-09-21 08:00:00,0,0,0.981205940246582,0.017593393102288246,0.0012006786419078708
2024-09-21 10:00:00,0,2,0.35986530780792236,5.690001671609934e-06,0.6401289701461792
2024-09-21 12:00:00,1,1,0.21367387473583221,0.7861350178718567,0.00019105184765066952
2024-09-21 14:00:00,0,0,0.9342781901359558,0.006087362300604582,0.05963439866900444
2024-09-21 16:00:00,0,0,0.989872932434082,0.001509271445684135,0.008617758750915527
2024-09-21 18:00:00,0,0,0.9480039477348328,0.02328423038125038,0.02871183305978775
2024-09-21 20:00:00,0,2,0.1322726607322693,0.0005361339426599443,0.8671912550926208
2024-09-21 22:00:00,0,0,0.9633203148841858,0.01465126033872366,0.022028425708413124
2024-09-22 00:00:00,0,0,0.9102802872657776,0.08924932032823563,0.00047039909986779094
2024-09-22 02:00:00,0,0,0.9720760583877563,0.0001390051475027576,0.027784893289208412
2024-09-22 04:00:00,0,0,0.9783355593681335,0.0005388910067267716,0.021125553175807
2024-09-22 06:00:00,1,1,0.004068409558385611,0.9959315657615662,6.766799742763396e-08
2024-09-22 08:00:00,0,0,0.9915949702262878,0.0016274797962978482,0.00677758501842618
2024-09-22 10:00:00,0,0,0.9876036643981934,0.0005011649336665869,0.011895104311406612
2024-09-22 12:00:00,0,0,0.9982060194015503,0.0014964081346988678,0.0002975942916236818
2024-09-22 14:00:00,0,0,0.9034044146537781,0.0003471839299891144,0.09624834358692169
2024-09-22 16:00:00,0,1,0.271338552236557,0.7284289598464966,0.00023250511731021106
2024-09-22 18:00:00,0,0,0.7332356572151184,0.25504276156425476,0.011721564456820488
2024-09-22 20:00:00,0,0,0.9179207682609558,0.0003998838074039668,0.08167943358421326
2024-09-22 22:00:00,0,0,0.8631234765052795,0.009210702031850815,0.12766581773757935
2024-09-23 00:00:00,0,0,0.5092727541923523,0.49042391777038574,0.00030332570895552635
2024-09-23 02:00:00,0,0,0.8952240943908691,0.10360866039991379,0.0011671497486531734
2024-09-23 04:00:00,0,0,0.8317862153053284,0.000802696798928082,0.16741111874580383
2024-09-23 06:00:00,0,0,0.8993358016014099,0.10037849843502045,0.0002857270883396268
2024-09-23 08:00:00,1,1,0.04752987623214722,0.9524492025375366,2.089804365823511e-05
2024-09-23 10:00:00,0,0,0.7073044776916504,0.2921006977558136,0.0005947838653810322
2024-09-23 12:00:00,0,0,0.9827612042427063,0.011155861429870129,0.006082928739488125
2024-09-23 14:00:00,0,0,0.9791568517684937,0.0028892632108181715,0.01795385219156742
2024-09-23 16:00:00,0,0,0.9892131686210632,0.010488505475223064,0.0002982892037834972
2024-09-23 18:00:00,0,0,0.9843310713768005,0.000734402216039598,0.014934537932276726
2024-09-23 20:00:00,1,1,0.0009533544071018696,0.9990354776382446,1.115986469812924e-05
2024-09-23 22:00:00,0,0,0.9875475168228149,0.012447225861251354,5.138670985616045e-06
2024-09-24 00:00:00,0,0,0.999173104763031,4.071885268785991e-05,0.0007861597114242613
2024-09-24 02:00:00,0,0,0.9850652813911438,0.014845252968370914,8.952225471148267e-05
2024-09-24 04:00:00,0,0,0.950379490852356,0.03788583353161812,0.011734690517187119
2024-09-24 06:00:00,0,0,0.9963390827178955,0.002925597596913576,0.0007352980901487172
2024-09-24 08:00:00,0,0,0.9832114577293396,0.001466452027671039,0.015322026796638966
2024-09-24 10:00:00,0,0,0.9977820515632629,0.0021394682116806507,7.844559877412394e-05
2024-09-24 12:00:00,0,0,0.976713240146637,0.00915253534913063,0.014134226366877556
2024-09-24 14:00:00,0,0,0.9952551126480103,0.004734463524073362,1.0412436495244037e-05
2024-09-24 16:00:00,0,0,0.9598211050033569,0.001305373851209879,0.038873523473739624
2024-09-24 18:00:00,0,0,0.9606311917304993,0.03922361508011818,0.00014515667862724513
2024-09-24 20:00:00,0,0,0.9973371624946594,0.0007448713877238333,0.001917992252856493
2024-09-24 22:00:00,0,0,0.9640601873397827,0.0010450517293065786,0.03489474207162857
2024-09-25 00:00:00,0,0,0.9931017160415649,0.004669131711125374,0.002229085424914956
2024-09-25 02:00:00,1,1,0.006753113586455584,0.9932465553283691,3.273283653015824e-07
2024-09-25 04:00:00,0,0,0.9540528655052185,0.017564944922924042,0.0283821988850832
2024-09-25 06:00:00,0,0,0.9131458401679993,0.08684126287698746,1.280254582525231e-05
2024-09-25 08:00:00,0,0,0.9885430335998535,0.01068169716745615,0.0007753286045044661
2024-09-25 10:00:00,2,2,0.00733606144785881,5.587310170085402e-07,0.9926633834838867
2024-09-25 12:00:00,0,0,0.9895111918449402,0.010474050417542458,1.472629537602188e-05
2024-09-25 14:00:00,0,0,0.8909086585044861,0.002874850295484066,0.10621647536754608
2024-09-25 16:00:00,0,0,0.9796472787857056,8.149351924657822e-05,0.02027122862637043
2024-09-25 18:00:00,0,0,0.990053117275238,0.009940484538674355,6.37115272184019e-06
2024-09-25 20:00:00,0,0,0.9919300675392151,0.008033012971282005,3.6875251680612564e-05
2024-09-25 22:00:00,2,2,2.3223394236993045e-05,2.4573168388997146e-08,0.9999767541885376
