datetime,timestamp,open,high,low,close,volume,MA5,MA10,MA20,MA50,RSI,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,price_change,price_change_5d,volume_MA
2025-05-20 07:00:00,1747724400000,105461.4,105740.4,104920.0,105018.3,360.73630352,,,,,,0.0,0.0,0.0,,,,,,
2025-05-20 08:00:00,1747728000000,105014.8,105248.8,104848.0,105225.3,329.46921347,,,,,,4.6442307692195754,2.5801282051219863,2.064102564097589,,,,0.0019710850394645263,,
2025-05-20 09:00:00,1747731600000,105222.6,105410.0,105188.3,105297.2,664.6317754,,,,,,8.147286516410531,4.861750463846799,3.2855360525637325,,,,0.0006832957473155155,,
2025-05-20 10:00:00,1747735200000,105297.3,105434.9,105013.7,105031.4,251.46661158,,,,,,-0.055732126857037656,3.195936578107017,-3.2516687049640547,,,,-0.002524283646668679,,
2025-05-20 11:00:00,1747738800000,105033.6,105354.0,104906.1,105206.0,125.55945791,105155.63999999998,,,,,2.4357793708040845,2.9698069947827275,-0.534027623978643,,,,0.0016623600180518672,,
2025-05-20 12:00:00,1747742400000,105206.1,105211.5,104651.8,104774.0,257.6980519,105106.78,,,,,-14.584841828444041,-1.7884788559054192,-12.796362972538622,,,,-0.004106229682717677,-0.0023262612325661847,
2025-05-20 13:00:00,1747746000000,104774.1,104875.6,104180.0,104448.5,404.13661013,104951.42,,,,,-39.99481170253421,-11.457482447174991,-28.537329255359218,,,,-0.0031066867734361736,-0.007382255028020812,
2025-05-20 14:00:00,1747749600000,104448.5,104997.0,104300.0,104522.5,360.57533545,104796.48000000001,,,,,-52.87048731210234,-21.40980628794613,-31.460681024156212,,,,0.0007084831280488313,-0.0073572706586689796,
2025-05-20 15:00:00,1747753200000,104522.5,105401.7,104480.6,105340.4,285.13872062,104858.28,,,,,-20.403207354451297,-21.177276940545763,0.7740695860944662,,,,0.007825109426200072,0.002941977351534897,
2025-05-20 16:00:00,1747756800000,105341.4,105527.9,105089.6,105213.9,148.68384628,104859.85999999999,105007.75,,,,-3.5908785571082262,-17.236902813630632,13.646024256522406,,,,-0.001200868802472721,7.509077429035393e-05,
2025-05-20 17:00:00,1747760400000,105214.0,106333.3,105214.0,106200.5,460.35925094,105145.15999999999,105125.97,,,,61.17001498694299,-0.08191721098131609,61.251932197924305,,,,0.009377088008333478,0.013615018993261785,
2025-05-20 18:00:00,1747764000000,106200.6,106414.9,105201.3,105280.0,320.87069296,105311.45999999999,105131.43999999999,,,,57.25330194544222,12.231283317570938,45.022018627871276,,,,-0.008667567478495841,0.007960861094223448,
2025-05-20 19:00:00,1747767600000,105279.9,107254.2,105203.6,107017.9,602.96365014,105810.54,105303.50999999998,,,,151.75986332132015,41.76037849350284,109.99948482781731,,,,0.016507408814589564,0.02387428544093373,
2025-05-20 20:00:00,1747771200000,107018.0,107308.7,106413.3,106910.0,415.92139536,106124.46,105491.37,,,65.13820201341207,214.27476886220393,77.85051767433838,136.42425118786554,,,,-0.0010082425463403544,0.014900266184673772,
2025-05-20 21:00:00,1747774800000,106910.1,107232.8,106136.1,106613.1,216.59670018,106404.3,105632.08,,,62.18334606569906,241.0679310909618,111.6844251474149,129.38350594354688,,,,-0.002777102235525186,0.01329862309067531,
2025-05-20 22:00:00,1747778400000,106613.1,106893.0,105939.9,106776.1,230.42477178,106519.42,105832.29000000001,,,61.927395785263855,268.2543517426675,143.9053488410928,124.34900290157469,,,,0.0015288927908483352,0.0054199368176233165,
2025-05-20 23:00:00,1747782000000,106775.2,107218.2,106631.6,106846.1,310.75980159,106832.63999999998,106072.05,,,61.91626532904564,289.99069120470085,173.7954833060056,116.19520789869526,,,,0.0006555774185421637,0.014875569908814557,
2025-05-21 00:00:00,1747785600000,106846.0,107210.0,106460.0,106745.9,272.6122645,106778.24000000002,106294.39000000001,,,63.53517012710192,296.7596283231833,198.83946456816162,97.92016375502166,,,,-0.0009377974488541385,-0.002541630886048085,
2025-05-21 01:00:00,1747789200000,106746.0,107083.3,106413.8,106489.1,124.08569831,106694.06000000001,106409.26000000001,,,59.99968826472567,281.8786559104192,215.69014675994057,66.18850915047861,,,,-0.0024057130063074306,-0.003936956318398632,
2025-05-21 02:00:00,1747792800000,106489.2,106913.9,106183.0,106846.0,326.66501864,106740.63999999998,106572.47,105790.11000000002,,66.33914771472737,290.2719811710558,230.78049349478943,59.49148767626639,105790.11000000002,107597.68812486039,103982.53187513964,0.0033515167280031566,0.0021845345459421406,323.467758533
2025-05-21 03:00:00,1747796400000,106846.0,107095.7,106746.1,106838.0,248.15476043,106753.01999999999,106636.22,105881.095,,69.83613089605028,292.74858480283,243.28948685597433,49.45909794685568,105881.095,107708.18218943282,104054.00781056719,-7.487411788931198e-05,0.0005797177458251035,317.83868137850004
