time,open,high,low,close,volume,amount,label
2024-09-16 18:00:00,0.00003118,0.000442,0.00003118,0.00033322,129055504059,44202615.73899779,1
2024-09-16 20:00:00,0.0003332,0.00038567,0.000306,0.00038321,108072897294,36575478.94925521,0
2024-09-16 22:00:00,0.00038319,0.00042488,0.00036781,0.000403,146737105244,57942413.39891013,0
2024-09-17 00:00:00,0.00040244,0.0004333,0.00037,0.00040034,91853989565,36875428.41099246,0
2024-09-17 02:00:00,0.00040034,0.00040075,0.00035183,0.00035663,38455787331,14391945.41730125,0
2024-09-17 04:00:00,0.00035689,0.00037,0.00033383,0.00036242,41175718525,14411695.41176583,0
2024-09-17 06:00:00,0.00036283,0.00036494,0.00033515,0.00035989,27875792075,9831782.67563803,0
2024-09-17 08:00:00,0.00035982,0.000389,0.00035933,0.00037021,42066178242,15879523.12790935,0
2024-09-17 10:00:00,0.00037021,0.000384,0.000353,0.00035912,25395110473,9423083.60186247,0
2024-09-17 12:00:00,0.00035909,0.00036691,0.00034034,0.00036148,27857814711,9780772.04638877,0
2024-09-17 14:00:00,0.0003613,0.0003775,0.00035111,0.00037274,23925816757,8813067.59197907,0
2024-09-17 16:00:00,0.00037295,0.00040996,0.00037174,0.00040429,59051167567,23416611.4304975,0
2024-09-17 18:00:00,0.00040441,0.0004113,0.00036607,0.00037888,42992086191,16465393.44294128,0
2024-09-17 20:00:00,0.00037883,0.000395,0.0003734,0.00038276,28989462977,11156947.41995862,0
2024-09-17 22:00:00,0.00038303,0.0005211,0.00037378,0.00051839,103331693334,45148320.13527511,1
2024-09-18 00:00:00,0.0005191,0.00067808,0.0005109,0.00063512,195743190461,118593140.09779687,0
2024-09-18 02:00:00,0.00063512,0.00071379,0.00062482,0.00065838,89429905514,59875054.41816934,0
2024-09-18 04:00:00,0.00065838,0.000716,0.00064,0.0006689,59254790054,40525301.82374,0
2024-09-18 06:00:00,0.00066891,0.000695,0.00065207,0.00068958,30010465292,20200686.77874265,0
2024-09-18 08:00:00,0.00068968,0.00089,0.00066052,0.00079796,107051934477,85558102.4003607,0
2024-09-18 10:00:00,0.00079773,0.000845,0.000792,0.0008226,42999707033,35496612.49130008,0
2024-09-18 12:00:00,0.0008226,0.00087696,0.0007203,0.00075643,81668831377,63878858.34990879,0
2024-09-18 14:00:00,0.00075643,0.00082,0.00073,0.0007981,43765963429,34421849.68278453,0
2024-09-18 16:00:00,0.00079888,0.00085888,0.00076022,0.00080784,57183415549,47025922.40567524,0
2024-09-18 18:00:00,0.00080784,0.00090853,0.0007869,0.00080492,73037906469,61233853.50519447,0
2024-09-18 20:00:00,0.00080492,0.00085,0.000787,0.00083902,42800915905,35267614.95723878,0
2024-09-18 22:00:00,0.00083879,0.00091,0.000776,0.00078485,81065902843,67863037.43513598,0
2024-09-19 00:00:00,0.00078449,0.0008389,0.0007725,0.00081443,48252589783,39140298.58177127,0
2024-09-19 02:00:00,0.00081395,0.00086932,0.00079615,0.00081639,56932986819,47526281.6656974,0
2024-09-19 04:00:00,0.00081669,0.00087,0.00080501,0.00084686,27330429556,22956103.97587198,1
2024-09-19 06:00:00,0.000847,0.000981,0.00084601,0.00096266,79904220837,74462248.80656162,0
2024-09-19 08:00:00,0.00096313,0.00097545,0.00091189,0.0009456,42047362166,39820064.17952885,0
2024-09-19 10:00:00,0.00094592,0.0009487,0.00085,0.00088101,45828314746,40989200.39308187,0
2024-09-19 12:00:00,0.00088159,0.00088592,0.00082172,0.00086492,35406860319,30429554.07451579,0
2024-09-19 14:00:00,0.00086449,0.00093663,0.00085158,0.00091066,46659024708,42170058.83075941,0
2024-09-19 16:00:00,0.00091066,0.0009228,0.00086072,0.00086793,26625100699,23875297.38949386,0
2024-09-19 18:00:00,0.00086792,0.00088432,0.000831,0.00085509,39111098323,33455941.03323214,0
2024-09-19 20:00:00,0.00085476,0.00093432,0.00085,0.00091851,46757696625,41389927.13549091,1
2024-09-19 22:00:00,0.00091829,0.001025,0.0008824,0.00101613,77409360652,73998620.96747766,0
2024-09-20 00:00:00,0.00101582,0.00103816,0.00092412,0.00094879,54285100739,52566312.95946472,0
2024-09-20 02:00:00,0.00094878,0.00097784,0.00090125,0.0009294,23695844395,22411184.19209639,2
2024-09-20 04:00:00,0.00092937,0.00094568,0.0009,0.00092955,16620288238,15383720.76253848,0
