time,open,high,low,close,volume,amount
2024-09-16 18:00:00,3.118e-05,0.000442,3.118e-05,0.00033139,91834503832.0,31521093.30498602
2024-09-16 19:00:00,0.0003319,0.00036888,0.00031962,0.00033322,37221000227.0,12681522.43401177
2024-09-16 20:00:00,0.0003332,0.000334,0.000306,0.00031768,36441074080.0,11675478.88805945
2024-09-16 21:00:00,0.00031768,0.00038567,0.000311,0.00038321,71631823214.0,24900000.06119576
2024-09-16 22:00:00,0.00038319,0.00042488,0.00036781,0.0003828,104368056471.0,41433990.16402956
2024-09-16 23:00:00,0.00038243,0.000412,0.00037001,0.000403,42369048773.0,16508423.23488057
2024-09-17 00:00:00,0.00040244,0.0004333,0.000381,0.00038489,62196119341.0,25407609.86616184
2024-09-17 01:00:00,0.00038514,0.0004096,0.00037,0.00040034,29657870224.0,11467818.54483062
2024-09-17 02:00:00,0.00040034,0.00040075,0.00038,0.00038438,15123995876.0,5868840.87955049
2024-09-17 03:00:00,0.00038472,0.00038673,0.00035183,0.00035663,23331791455.0,8523104.53775076
2024-09-17 04:00:00,0.00035689,0.00036145,0.00033383,0.00033981,22929212253.0,7886081.3134539
2024-09-17 05:00:00,0.0003399,0.00037,0.00033968,0.00036242,18246506272.0,6525614.09831193
2024-09-17 06:00:00,0.00036283,0.00036486,0.00033515,0.0003414,15895440927.0,5580498.54683384
2024-09-17 07:00:00,0.00034145,0.00036494,0.000341,0.00035989,11980351148.0,4251284.12880419
2024-09-17 08:00:00,0.00035982,0.00038621,0.00035933,0.00038234,25487468093.0,9578202.33087116
2024-09-17 09:00:00,0.00038253,0.000389,0.00036806,0.00037021,16578710149.0,6301320.79703819
2024-09-17 10:00:00,0.00037021,0.000384,0.000368,0.00037993,8745999027.0,3312673.92428262
2024-09-17 11:00:00,0.00037976,0.00038296,0.000353,0.00035912,16649111446.0,6110409.67757985
2024-09-17 12:00:00,0.00035909,0.00035914,0.00034034,0.00034288,16843119802.0,5871990.18788126
2024-09-17 13:00:00,0.00034325,0.00036691,0.00034228,0.00036148,11014694909.0,3908781.85850751
2024-09-17 14:00:00,0.0003613,0.0003775,0.00035111,0.00037312,14294467257.0,5246110.1769915
2024-09-17 15:00:00,0.00037314,0.00037737,0.000365,0.00037274,9631349500.0,3566957.41498757
2024-09-17 16:00:00,0.00037295,0.00040996,0.00037174,0.00039638,34433008510.0,13557594.99915713
2024-09-17 17:00:00,0.00039637,0.00040925,0.00039225,0.00040429,24618159057.0,9859016.43134037
2024-09-17 18:00:00,0.00040441,0.0004113,0.00037171,0.00037604,25789793960.0,9995334.91300351
